Plant_ID,Plant_Type,Leaf_Color,Leaf_Spot_Size,Humidity,Temperature,Disease_Status
PLANT_0001,Corn,Brown,3.8,69.49,30.68,Mild Infection
PLANT_0002,Potato,Brown,6.96,45.72,34.57,Mild Infection
PLANT_0003,Corn,Yellow,3.08,86.21,29.29,Healthy
PLANT_0004,Rice,Yellow,0.5,87.46,16.71,Healthy
PLANT_0005,Rice,Green,1.58,43.38,26.23,Severe Infection
PLANT_0006,Corn,Brown,5.7,42.74,15.68,Healthy
PLANT_0007,Potato,Brown,0.4,52.86,30.53,Healthy
PLANT_0008,Wheat,Green,9.7,33.73,33.76,Healthy
PLANT_0009,Tomato,Yellow,9.41,63.62,28.87,Mild Infection
PLANT_0010,Potato,Yellow,8.41,46.75,33.78,Healthy
PLANT_0011,Corn,Yellow,5.3,33.0,26.71,Healthy
PLANT_0012,Wheat,Yellow,0.78,81.47,26.91,Healthy
PLANT_0013,Potato,Yellow,4.77,86.65,26.97,Healthy
PLANT_0014,Potato,Green,0.24,38.61,24.51,Severe Infection
PLANT_0015,Potato,Green,1.66,66.59,33.64,Mild Infection
PLANT_0016,Wheat,Green,7.06,86.42,30.12,Healthy
PLANT_0017,Tomato,Green,6.78,79.22,18.72,Severe Infection
PLANT_0018,Tomato,Yellow,8.66,83.81,27.7,Healthy
PLANT_0019,Corn,Green,5.79,75.77,16.03,Healthy
PLANT_0020,Wheat,Brown,9.89,50.66,29.8,Healthy
PLANT_0021,Tomato,Yellow,1.85,88.14,21.48,Healthy
PLANT_0022,Potato,Yellow,8.34,72.25,30.68,Mild Infection
PLANT_0023,Tomato,Brown,7.39,63.54,20.74,Healthy
PLANT_0024,Wheat,Yellow,7.27,68.63,16.91,Severe Infection
PLANT_0025,Wheat,Brown,6.2,48.16,26.67,Healthy
PLANT_0026,Corn,Brown,4.42,39.37,17.34,Mild Infection
PLANT_0027,Wheat,Brown,3.6,83.15,24.08,Healthy
PLANT_0028,Rice,Brown,1.74,81.52,22.44,Healthy
PLANT_0029,Potato,Green,6.33,35.07,31.33,Healthy
PLANT_0030,Corn,Brown,1.33,62.61,26.88,Healthy
PLANT_0031,Corn,Yellow,7.28,48.5,16.64,Healthy
PLANT_0032,Corn,Yellow,9.7,68.23,29.94,Severe Infection
PLANT_0033,Tomato,Brown,8.02,71.33,19.79,Healthy
PLANT_0034,Corn,Green,8.66,44.23,29.16,Healthy
PLANT_0035,Rice,Green,9.26,73.59,22.64,Mild Infection
PLANT_0036,Rice,Green,9.97,62.65,19.52,Healthy
PLANT_0037,Potato,Yellow,5.24,59.11,26.18,Healthy
PLANT_0038,Potato,Green,8.41,68.26,21.05,Healthy
PLANT_0039,Potato,Green,1.32,34.19,33.12,Healthy
PLANT_0040,Potato,Brown,8.9,76.06,16.88,Healthy
PLANT_0041,Corn,Brown,4.15,75.85,26.94,Mild Infection
PLANT_0042,Potato,Yellow,6.95,35.53,29.96,Healthy
PLANT_0043,Potato,Yellow,8.59,44.84,17.58,Healthy
PLANT_0044,Wheat,Brown,1.52,51.88,29.86,Healthy
PLANT_0045,Rice,Green,0.29,89.47,23.82,Healthy
PLANT_0046,Tomato,Yellow,8.67,59.52,28.79,Mild Infection
PLANT_0047,Tomato,Yellow,8.17,84.09,34.34,Mild Infection
PLANT_0048,Wheat,Green,9.48,74.28,16.7,Healthy
PLANT_0049,Wheat,Yellow,1.72,64.26,33.09,Healthy
PLANT_0050,Rice,Green,5.4,39.56,27.2,Healthy
PLANT_0051,Potato,Brown,7.89,72.28,23.36,Healthy
PLANT_0052,Potato,Yellow,9.88,60.24,16.22,Severe Infection
PLANT_0053,Tomato,Green,1.01,80.72,29.54,Healthy
PLANT_0054,Wheat,Yellow,1.18,60.84,21.84,Mild Infection
PLANT_0055,Potato,Brown,4.27,57.81,22.92,Healthy
PLANT_0056,Corn,Green,5.09,56.48,20.36,Healthy
PLANT_0057,Wheat,Yellow,9.4,59.29,19.53,Healthy
PLANT_0058,Corn,Brown,7.03,42.84,15.34,Healthy
PLANT_0059,Tomato,Yellow,7.69,82.43,16.15,Healthy
PLANT_0060,Corn,Brown,2.84,32.61,28.09,Healthy
PLANT_0061,Potato,Yellow,5.77,35.77,24.39,Healthy
PLANT_0062,Corn,Green,0.38,80.89,32.18,Healthy
PLANT_0063,Potato,Brown,6.22,51.73,15.63,Severe Infection
PLANT_0064,Potato,Yellow,6.21,35.41,32.61,Healthy
PLANT_0065,Tomato,Yellow,1.3,50.53,29.12,Healthy
PLANT_0066,Potato,Green,9.89,43.11,34.09,Healthy
PLANT_0067,Corn,Green,1.15,88.4,18.65,Mild Infection
PLANT_0068,Rice,Yellow,7.17,36.14,32.36,Healthy
PLANT_0069,Wheat,Brown,8.91,61.51,20.29,Healthy
PLANT_0070,Wheat,Yellow,2.1,38.25,27.53,Healthy
PLANT_0071,Corn,Green,2.82,34.5,31.24,Mild Infection
PLANT_0072,Wheat,Green,2.41,30.83,15.61,Healthy
PLANT_0073,Rice,Brown,1.89,36.46,31.6,Healthy
PLANT_0074,Tomato,Green,0.66,42.79,19.65,Mild Infection
PLANT_0075,Potato,Brown,0.86,55.01,33.69,Healthy
PLANT_0076,Rice,Yellow,8.82,75.13,26.99,Healthy
PLANT_0077,Rice,Green,1.58,85.62,15.76,Healthy
PLANT_0078,Potato,Yellow,6.46,67.54,16.59,Healthy
PLANT_0079,Tomato,Yellow,6.92,75.49,22.19,Healthy
PLANT_0080,Tomato,Brown,0.66,85.35,27.25,Mild Infection
PLANT_0081,Tomato,Brown,1.24,31.13,16.49,Mild Infection
PLANT_0082,Wheat,Brown,4.8,89.26,22.77,Healthy
PLANT_0083,Corn,Yellow,4.32,79.18,28.23,Healthy
PLANT_0084,Rice,Brown,6.31,47.48,27.76,Healthy
PLANT_0085,Corn,Yellow,9.91,55.22,32.24,Healthy
PLANT_0086,Rice,Brown,9.31,83.31,21.59,Healthy
PLANT_0087,Potato,Green,6.55,61.37,19.39,Severe Infection
PLANT_0088,Potato,Brown,5.88,32.07,33.4,Healthy
PLANT_0089,Corn,Yellow,3.45,81.52,26.77,Healthy
PLANT_0090,Tomato,Green,3.46,41.35,25.9,Healthy
PLANT_0091,Tomato,Yellow,5.84,42.27,29.59,Severe Infection
PLANT_0092,Potato,Brown,1.82,52.24,31.41,Severe Infection
PLANT_0093,Potato,Brown,8.63,57.18,33.09,Healthy
PLANT_0094,Rice,Brown,3.2,60.53,26.36,Healthy
PLANT_0095,Potato,Green,5.02,37.65,33.2,Healthy
PLANT_0096,Rice,Brown,6.77,45.06,29.87,Healthy
PLANT_0097,Corn,Brown,2.88,45.74,22.66,Healthy
PLANT_0098,Tomato,Green,6.82,30.63,26.03,Mild Infection
PLANT_0099,Rice,Yellow,7.23,48.04,33.04,Healthy
PLANT_0100,Tomato,Brown,5.86,83.94,27.74,Healthy
PLANT_0101,Wheat,Brown,2.62,36.79,20.85,Healthy
PLANT_0102,Corn,Brown,8.25,76.7,18.21,Healthy
PLANT_0103,Wheat,Yellow,9.27,74.56,19.54,Mild Infection
PLANT_0104,Corn,Yellow,3.96,81.99,16.97,Mild Infection
PLANT_0105,Rice,Yellow,6.21,33.93,21.53,Healthy
PLANT_0106,Tomato,Green,1.7,46.7,22.27,Healthy
PLANT_0107,Tomato,Green,7.44,34.23,31.92,Healthy
PLANT_0108,Potato,Green,9.32,88.13,17.71,Healthy
PLANT_0109,Corn,Yellow,7.38,57.32,18.06,Healthy
PLANT_0110,Wheat,Brown,9.64,42.04,30.32,Healthy
PLANT_0111,Tomato,Green,9.83,82.59,16.18,Healthy
PLANT_0112,Rice,Brown,2.55,83.9,19.08,Healthy
PLANT_0113,Tomato,Yellow,1.75,46.58,19.79,Healthy
PLANT_0114,Rice,Yellow,9.69,48.86,30.45,Healthy
PLANT_0115,Tomato,Brown,0.51,55.85,25.11,Severe Infection
PLANT_0116,Potato,Green,7.22,64.31,31.34,Healthy
PLANT_0117,Tomato,Brown,3.07,45.28,32.51,Healthy
PLANT_0118,Corn,Brown,9.11,62.33,30.54,Healthy
PLANT_0119,Rice,Brown,2.46,63.37,30.82,Healthy
PLANT_0120,Tomato,Yellow,9.51,84.18,27.95,Mild Infection
PLANT_0121,Potato,Green,5.9,38.88,17.11,Healthy
PLANT_0122,Potato,Green,0.4,66.56,16.26,Mild Infection
PLANT_0123,Corn,Green,8.01,79.07,27.6,Mild Infection
PLANT_0124,Corn,Green,7.84,51.22,30.43,Healthy
PLANT_0125,Wheat,Brown,0.2,31.17,16.48,Mild Infection
PLANT_0126,Tomato,Brown,0.51,78.28,15.5,Healthy
PLANT_0127,Tomato,Yellow,4.36,71.36,28.89,Healthy
PLANT_0128,Rice,Yellow,5.51,31.47,28.95,Healthy
PLANT_0129,Potato,Brown,7.17,41.61,15.62,Healthy
PLANT_0130,Potato,Brown,1.21,58.18,22.37,Healthy
PLANT_0131,Potato,Yellow,8.51,73.82,24.74,Healthy
PLANT_0132,Rice,Brown,6.17,32.99,23.91,Healthy
PLANT_0133,Rice,Yellow,0.66,57.08,21.35,Healthy
PLANT_0134,Potato,Brown,3.62,78.66,20.45,Healthy
PLANT_0135,Wheat,Yellow,1.01,34.51,23.04,Healthy
PLANT_0136,Tomato,Yellow,0.54,67.06,17.81,Mild Infection
PLANT_0137,Wheat,Green,8.45,73.32,32.02,Healthy
PLANT_0138,Rice,Brown,0.67,31.14,33.0,Healthy
PLANT_0139,Rice,Green,7.77,35.78,24.35,Healthy
PLANT_0140,Potato,Green,8.29,79.03,21.2,Healthy
PLANT_0141,Wheat,Brown,2.22,89.19,17.62,Mild Infection
PLANT_0142,Corn,Green,6.32,35.33,22.81,Mild Infection
PLANT_0143,Corn,Yellow,1.35,43.79,21.5,Mild Infection
PLANT_0144,Wheat,Brown,4.3,61.13,30.48,Healthy
PLANT_0145,Rice,Brown,9.67,48.91,23.26,Mild Infection
PLANT_0146,Potato,Yellow,2.34,39.44,16.75,Healthy
PLANT_0147,Potato,Brown,3.07,37.14,30.78,Healthy
PLANT_0148,Corn,Green,0.8,85.66,30.25,Severe Infection
PLANT_0149,Rice,Green,7.57,56.54,18.05,Healthy
PLANT_0150,Tomato,Green,9.3,83.94,18.29,Mild Infection
PLANT_0151,Rice,Green,1.68,58.24,23.53,Healthy
PLANT_0152,Corn,Brown,4.21,32.79,17.94,Severe Infection
PLANT_0153,Tomato,Yellow,3.76,67.59,26.35,Healthy
PLANT_0154,Wheat,Green,3.36,53.05,31.88,Healthy
PLANT_0155,Rice,Green,6.2,86.83,18.62,Severe Infection
